data,cidade,preco_cesta,codigo_ibge
2010-01-01,Brasília,214.47,5300108
2010-02-01,Brasília,216.89,5300108
2010-03-01,Brasília,236.41,5300108
2010-04-01,Brasília,237.76,5300108
2010-05-01,Brasília,233.25,5300108
2010-06-01,Brasília,230.39,5300108
2010-07-01,Brasília,221.17,5300108
2010-08-01,Brasília,213.98,5300108
2010-09-01,Brasília,215.99,5300108
2010-10-01,Brasília,224.24,5300108
2010-11-01,Brasília,236.73,5300108
2010-12-01,Brasília,233.67,5300108
2011-01-01,Brasília,255.65,5300108
2011-02-01,Brasília,250.48,5300108
2011-03-01,Brasília,250.35,5300108
2011-04-01,Brasília,248.32,5300108
2011-05-01,Brasília,248.93,5300108
2011-06-01,Brasília,246.1,5300108
2011-07-01,Brasília,241.89,5300108
2011-08-01,Brasília,244.24,5300108
2011-09-01,Brasília,241.9,5300108
2011-10-01,Brasília,243.11,5300108
2011-11-01,Brasília,249.13,5300108
2011-12-01,Brasília,247.88,5300108
2012-01-01,Brasília,259.59,5300108
2012-02-01,Brasília,255.91,5300108
2012-03-01,Brasília,253.7,5300108
2012-04-01,Brasília,255.5,5300108
2012-05-01,Brasília,253.21,5300108
2012-06-01,Brasília,259.7,5300108
2012-07-01,Brasília,275.58,5300108
2012-08-01,Brasília,284.5,5300108
2012-09-01,Brasília,281.87,5300108
2012-10-01,Brasília,271.55,5300108
2012-11-01,Brasília,266.85,5300108
2012-12-01,Brasília,275.95,5300108
2013-01-01,Brasília,307.14,5300108
2013-02-01,Brasília,306.39,5300108
2013-03-01,Brasília,310.75,5300108
2013-04-01,Brasília,309.68,5300108
2013-05-01,Brasília,303.37,5300108
2013-06-01,Brasília,312.09,5300108
2013-07-01,Brasília,284.45,5300108
2013-08-01,Brasília,286.49,5300108
2013-09-01,Brasília,276.14,5300108
2013-10-01,Brasília,284.12,5300108
2013-11-01,Brasília,286.35,5300108
2013-12-01,Brasília,289.72,5300108
2014-01-01,Brasília,304.09,5300108
2014-02-01,Brasília,295.23,5300108
2014-03-01,Brasília,323.02,5300108
2014-04-01,Brasília,331.53,5300108
2014-05-01,Brasília,331.19,5300108
2014-06-01,Brasília,324.07,5300108
2014-07-01,Brasília,300.86,5300108
2014-08-01,Brasília,297.27,5300108
2014-09-01,Brasília,300.54,5300108
2014-10-01,Brasília,303.28,5300108
2014-11-01,Brasília,321.05,5300108
2014-12-01,Brasília,329.66,5300108
2015-01-01,Brasília,353.6,5300108
2015-02-01,Brasília,355.7,5300108
2015-03-01,Brasília,351.93,5300108
2015-04-01,Brasília,358.0,5300108
2015-05-01,Brasília,370.23,5300108
2015-06-01,Brasília,359.61,5300108
2015-07-01,Brasília,354.94,5300108
2015-08-01,Brasília,342.66,5300108
2015-09-01,Brasília,338.28,5300108
2015-10-01,Brasília,345.38,5300108
2015-11-01,Brasília,377.24,5300108
2015-12-01,Brasília,392.93,5300108
2015-12-01,Brasília,398.65,5300108
2016-01-01,Brasília,451.76,5300108
2016-02-01,Brasília,438.69,5300108
2016-03-01,Brasília,444.74,5300108
2016-04-01,Brasília,427.68,5300108
2016-05-01,Brasília,441.6,5300108
2016-06-01,Brasília,448.4,5300108
2016-07-01,Brasília,447.36,5300108
2016-08-01,Brasília,451.29,5300108
2016-09-01,Brasília,461.99,5300108
2016-10-01,Brasília,436.85,5300108
2016-11-01,Brasília,436.68,5300108
2016-12-01,Brasília,433.74,5300108
2017-01-01,Brasília,432.65,5300108
2017-02-01,Brasília,416.59,5300108
2017-03-01,Brasília,415.39,5300108
2017-04-01,Brasília,427.37,5300108
2017-05-01,Brasília,422.53,5300108
2017-06-01,Brasília,404.88,5300108
2017-07-01,Brasília,405.4,5300108
2017-08-01,Brasília,396.54,5300108
2017-09-01,Brasília,383.03,5300108
2017-10-01,Brasília,388.78,5300108
2017-11-01,Brasília,380.52,5300108
2017-12-01,Brasília,379.77,5300108
2018-01-01,Brasília,416.5,5300108
2018-02-01,Brasília,408.68,5300108
2018-03-01,Brasília,404.6,5300108
2018-04-01,Brasília,402.31,5300108
2018-05-01,Brasília,404.65,5300108
2018-06-01,Brasília,413.02,5300108
2018-07-01,Brasília,390.34,5300108
2018-08-01,Brasília,385.62,5300108
2018-09-01,Brasília,390.14,5300108
2018-10-01,Brasília,408.57,5300108
2018-11-01,Brasília,430.82,5300108
2018-12-01,Brasília,435.83,5300108
2019-01-01,Brasília,427.1,5300108
2019-02-01,Brasília,427.54,5300108
2019-03-01,Brasília,474.94,5300108
2019-04-01,Brasília,487.02,5300108
2019-05-01,Brasília,487.3,5300108
2019-06-01,Brasília,454.9,5300108
2019-07-01,Brasília,449.27,5300108
2019-08-01,Brasília,433.45,5300108
2019-09-01,Brasília,420.01,5300108
2019-10-01,Brasília,441.91,5300108
2019-12-01,Brasília,473.9,5300108
2020-01-01,Brasília,483.17,5300108
2020-02-01,Brasília,481.78,5300108
2020-03-01,Brasília,484.15,5300108
2020-04-01,Brasília,471.17,5300108
2020-05-01,Brasília,441.09,5300108
2020-06-01,Brasília,450.45,5300108
2020-07-01,Brasília,449.96,5300108
2020-08-01,Brasília,443.28,5300108
2020-09-01,Brasília,445.76,5300108
2020-10-01,Brasília,490.48,5300108
2020-11-01,Brasília,572.64,5300108
2020-12-01,Brasília,591.82,5300108
2021-01-01,Brasília,614.31,5300108
2021-02-01,Brasília,591.44,5300108
2021-03-01,Brasília,580.76,5300108
2021-04-01,Brasília,587.33,5300108
2021-05-01,Brasília,588.24,5300108
2021-06-01,Brasília,584.99,5300108
2021-07-01,Brasília,582.35,5300108
2021-08-01,Brasília,594.59,5300108
2021-09-01,Brasília,617.65,5300108
2021-10-01,Brasília,644.09,5300108
2021-11-01,Brasília,631.95,5300108
2021-12-01,Brasília,621.56,5300108
2022-01-01,Brasília,661.09,5300108
2022-02-01,Brasília,670.98,5300108
2022-03-01,Brasília,704.65,5300108
2022-04-01,Brasília,741.55,5300108
2022-05-01,Brasília,696.34,5300108
2022-06-01,Brasília,698.36,5300108
2022-07-01,Brasília,703.93,5300108
2022-08-01,Brasília,689.31,5300108
2022-09-01,Brasília,687.21,5300108
2022-10-01,Brasília,699.09,5300108
2022-11-01,Brasília,712.2,5300108
2022-12-01,Brasília,728.78,5300108
2023-01-01,Brasília,729.73,5300108
2012-10-01,Campo Grande,264.22,5002704
2012-11-01,Campo Grande,266.06,5002704
2012-12-01,Campo Grande,268.03,5002704
2013-01-01,Campo Grande,287.87,5002704
2013-02-01,Campo Grande,294.32,5002704
2013-03-01,Campo Grande,301.57,5002704
2013-04-01,Campo Grande,295.99,5002704
2013-05-01,Campo Grande,306.8,5002704
2013-06-01,Campo Grande,300.48,5002704
2013-07-01,Campo Grande,288.79,5002704
2013-08-01,Campo Grande,289.12,5002704
2013-09-01,Campo Grande,290.58,5002704
2013-10-01,Campo Grande,291.11,5002704
2013-11-01,Campo Grande,295.75,5002704
2013-12-01,Campo Grande,301.2,5002704
2014-01-01,Campo Grande,288.57,5002704
2014-02-01,Campo Grande,292.09,5002704
2014-03-01,Campo Grande,329.61,5002704
2014-04-01,Campo Grande,330.61,5002704
2014-05-01,Campo Grande,323.84,5002704
2014-06-01,Campo Grande,309.09,5002704
2014-07-01,Campo Grande,293.55,5002704
2014-08-01,Campo Grande,288.28,5002704
2014-09-01,Campo Grande,285.02,5002704
2014-10-01,Campo Grande,296.22,5002704
2014-11-01,Campo Grande,303.69,5002704
2014-12-01,Campo Grande,308.32,5002704
2015-01-01,Campo Grande,329.58,5002704
2015-02-01,Campo Grande,326.43,5002704
2015-03-01,Campo Grande,327.67,5002704
2015-04-01,Campo Grande,347.48,5002704
2015-05-01,Campo Grande,364.35,5002704
2015-06-01,Campo Grande,349.8,5002704
2015-07-01,Campo Grande,347.08,5002704
2015-08-01,Campo Grande,338.79,5002704
2015-09-01,Campo Grande,336.69,5002704
2015-10-01,Campo Grande,339.2,5002704
2015-11-01,Campo Grande,368.59,5002704
2015-12-01,Campo Grande,378.55,5002704
2015-12-01,Campo Grande,388.47,5002704
2016-01-01,Campo Grande,412.61,5002704
2016-02-01,Campo Grande,387.87,5002704
2016-03-01,Campo Grande,394.04,5002704
2016-04-01,Campo Grande,402.89,5002704
2016-05-01,Campo Grande,401.63,5002704
2016-06-01,Campo Grande,428.73,5002704
2016-07-01,Campo Grande,430.37,5002704
2016-08-01,Campo Grande,440.86,5002704
2016-09-01,Campo Grande,432.27,5002704
2016-10-01,Campo Grande,436.51,5002704
2016-11-01,Campo Grande,425.78,5002704
2016-12-01,Campo Grande,408.06,5002704
2017-01-01,Campo Grande,393.25,5002704
2017-02-01,Campo Grande,385.38,5002704
2017-03-01,Campo Grande,391.95,5002704
2017-04-01,Campo Grande,402.19,5002704
2017-05-01,Campo Grande,395.11,5002704
2017-06-01,Campo Grande,386.68,5002704
2017-07-01,Campo Grande,382.17,5002704
2017-08-01,Campo Grande,355.09,5002704
2017-09-01,Campo Grande,359.24,5002704
2017-10-01,Campo Grande,368.83,5002704
2017-11-01,Campo Grande,364.33,5002704
2017-12-01,Campo Grande,366.26,5002704
2018-01-01,Campo Grande,384.26,5002704
2018-02-01,Campo Grande,372.79,5002704
2018-03-01,Campo Grande,382.47,5002704
2018-04-01,Campo Grande,378.4,5002704
2018-05-01,Campo Grande,398.14,5002704
2018-06-01,Campo Grande,380.18,5002704
2018-07-01,Campo Grande,370.59,5002704
2018-08-01,Campo Grande,364.66,5002704
2018-09-01,Campo Grande,383.77,5002704
2018-10-01,Campo Grande,396.8,5002704
2018-11-01,Campo Grande,420.8,5002704
2018-12-01,Campo Grande,422.88,5002704
2019-01-01,Campo Grande,414.83,5002704
2019-02-01,Campo Grande,438.64,5002704
2019-03-01,Campo Grande,447.5,5002704
2019-04-01,Campo Grande,492.55,5002704
2019-05-01,Campo Grande,423.97,5002704
2019-06-01,Campo Grande,428.33,5002704
2019-07-01,Campo Grande,420.07,5002704
2019-08-01,Campo Grande,408.11,5002704
