data,incc
1/2009,'409.166'
2/2009,'410.262'
3/2009,'409.216'
4/2009,'409.042'
5/2009,'414.742'
6/2009,'417.657'
7/2009,'418.757'
8/2009,'418.528'
9/2009,'419.147'
10/2009,'419.405'
11/2009,'420.635'
12/2009,'421.051'
1/2010,'423.740'
2/2010,'425.268'
3/2010,'428.476'
4/2010,'432.079'
5/2010,'439.914'
6/2010,'444.718'
7/2010,'446.688'
8/2010,'447.296'
9/2010,'448.222'
10/2010,'449.103'
11/2010,'450.763'
12/2010,'453.766'
1/2011,'455.619'
2/2011,'456.917'
3/2011,'458.887'
4/2011,'463.766'
5/2011,'477.405'
6/2011,'479.183'
7/2011,'481.330'
8/2011,'481.966'
9/2011,'482.658'
10/2011,'483.758'
11/2011,'487.221'
12/2011,'487.749'
1/2012,'492.106'
2/2012,'493.584'
3/2012,'496.079'
4/2012,'499.791'
5/2012,'509.184'
6/2012,'512.903'
7/2012,'516.318'
8/2012,'517.657'
9/2012,'518.816'
10/2012,'519.907'
11/2012,'521.638'
12/2012,'522.474'
1/2013,'525.850'
2/2013,'529.029'
3/2013,'531.691'
4/2013,'535.601'
5/2013,'547.655'
6/2013,'553.948'
7/2013,'556.600'
8/2013,'558.340'
9/2013,'560.767'
10/2013,'562.241'
11/2013,'564.201'
12/2013,'564.765'
1/2014,'569.720'
2/2014,'571.577'
3/2014,'573.156'
4/2014,'578.224'
5/2014,'590.099'
6/2014,'594.013'
7/2014,'598.441'
8/2014,'598.898'
9/2014,'599.823'
10/2014,'600.865'
11/2014,'603.524'
12/2014,'604.026'
1/2015,'609.568'
2/2015,'611.447'
3/2015,'615.248'
4/2015,'618.060'
5/2015,'623.951'
6/2015,'635.403'
7/2015,'638.880'
8/2015,'642.644'
9/2015,'644.046'
10/2015,'646.355'
11/2015,'648.542'
12/2015,'649.216'
1/2016,'651.759'
2/2016,'655.263'
3/2016,'659.446'
4/2016,'663.057'
5/2016,'663.610'
6/2016,'676.420'
7/2016,'679.751'
8/2016,'681.756'
9/2016,'684.025'
10/2016,'685.489'
11/2016,'686.607'
12/2016,'688.985'
1/2017,'691.792'
2/2017,'696.314'
3/2017,'697.410'
4/2017,'697.244'
5/2017,'701.664'
6/2017,'708.197'
7/2017,'710.355'
8/2017,'712.884'
9/2017,'713.330'
10/2017,'715.527'
11/2017,'717.751'
12/2017,'718.276'
1/2018,'720.495'
2/2018,'721.414'
3/2018,'723.163'
4/2018,'725.245'
5/2018,'726.923'
6/2018,'733.984'
7/2018,'738.487'
8/2018,'739.583'
9/2018,'741.305'
10/2018,'743.866'
11/2018,'744.865'
12/2018,'745.856'
1/2019,'749.517'
2/2019,'750.180'
3/2019,'752.524'
4/2019,'755.373'
5/2019,'755.625'
6/2019,'762.304'
7/2019,'766.699'
8/2019,'769.951'
9/2019,'773.520'
10/2019,'774.939'
11/2019,'775.225'
12/2019,'776.839'
1/2020,'779.766'
2/2020,'782.336'
3/2020,'784.338'
4/2020,'786.070'
5/2020,'787.666'
6/2020,'790.331'
7/2020,'799.589'
8/2020,'805.356'
9/2020,'814.701'
10/2020,'828.778'
11/2020,'839.382'
12/2020,'845.268'
1/2021,'852.809'
2/2021,'868.929'
3/2021,'880.265'
4/2021,'888.191'
5/2021,'907.899'
6/2021,'927.512'
7/2021,'935.359'
8/2021,'939.699'
9/2021,'944.520'
10/2021,'952.596'
11/2021,'959.001'
12/2021,'962.321'
1/2022,'969.184'
2/2022,'972.904'
3/2022,'981.244'
4/2022,'990.543'
5/2022,'1013.164'
6/2022,'1034.824'
7/2022,'1043.760'
8/2022,'1044.679'
9/2022,'1045.616'
10/2022,'1046.896'
11/2022,'1050.701'
12/2022,'1051.632'
