;"Brasília";"Campo Grande";"Cuiabá";"Goiânia";"Belo Horizonte";"Rio de Janeiro";"São Paulo";"Vitória";"Curitiba";"Florianópolis";"Porto Alegre";"Belém";"Boa Vista";"Macapá";"Manaus";"Palmas";"Porto Velho";"Rio Branco";"Aracaju";"Fortaleza";"João Pessoa";"Maceió";"Natal";"Recife";"Salvador";"São Luís";"Teresina";"Macaé"
"01-2010";214,47;;;199,71;205,69;213,77;225,02;217,20;211,99;213,23;236,55;204,62;;;216,53;;;;169,13;175,86;171,97;;186,72;172,29;185,77;;;
"02-2010";216,89;;;190,63;216,51;221,80;229,64;224,74;215,61;217,59;238,46;204,93;;;223,90;;;;169,57;176,89;179,28;;193,50;184,08;198,24;;;
"03-2010";236,41;;;206,91;224,37;240,22;253,74;232,23;231,30;229,80;257,07;215,72;;;231,31;;;;181,70;182,43;196,29;;199,14;202,01;208,71;;;
"04-2010";237,76;;;206,46;239,06;253,13;261,39;244,07;238,71;239,67;268,72;227,04;;;241,52;;;;184,97;187,21;203,86;;223,22;214,48;220,00;;;
"05-2010";233,25;;;212,07;240,47;240,36;256,31;242,85;233,49;235,89;256,86;221,74;;;249,39;;;;187,10;185,73;200,09;;219,57;216,85;216,18;;;
"06-2010";230,39;;;223,13;231,54;228,16;249,06;231,12;227,14;232,46;248,15;215,22;;;236,57;;;;184,17;181,92;193,94;;211,72;208,79;207,85;;;
"07-2010";221,17;;;215,02;217,97;213,10;239,38;222,27;216,11;221,42;237,67;215,32;;;233,00;;;;181,04;181,73;191,17;;208,92;200,83;202,82;;;
"08-2010";213,98;;;213,97;213,81;211,88;235,65;217,96;214,57;221,24;240,91;207,97;;;226,26;;;;174,96;179,50;183,31;;195,58;188,22;192,69;;;
"09-2010";215,99;;;217,66;217,66;219,54;241,08;225,35;219,28;223,73;243,73;211,31;;;228,76;;;;173,56;185,12;181,23;;193,08;192,20;199,77;;;
"10-2010";224,24;;;229,93;229,64;230,13;253,79;231,26;231,96;230,85;247,21;219,57;;;229,28;;;;172,40;193,38;186,34;;200,97;195,64;205,18;;;
"11-2010";236,73;;;236,31;235,83;242,35;264,61;246,75;239,06;238,98;249,78;224,00;;;250,56;;;;179,78;208,91;193,49;;205,84;206,32;210,64;;;
"12-2010";233,67;;;234,61;236,24;242,67;265,15;242,00;243,97;238,14;252,15;226,09;;;252,06;;;;175,88;205,65;194,24;;219,80;205,50;201,70;;;
"01-2011";255,65;;;241,59;244,12;252,24;261,25;250,26;237,17;246,58;254,70;228,55;;;255,80;;;;182,76;216,45;200,21;;224,58;204,85;209,49;;;
"02-2011";250,48;;;241,53;246,63;249,02;261,18;246,31;245,15;241,47;256,51;228,94;;;252,75;;;;190,66;213,75;203,26;;221,15;211,40;210,44;;;
"03-2011";250,35;;;242,55;248,77;259,80;267,58;258,32;248,42;250,28;261,13;232,76;;;251,38;;;;192,35;218,89;203,94;;234,85;209,77;220,75;;;
"04-2011";248,32;;;237,16;247,03;255,16;268,52;256,12;246,53;252,55;264,63;231,40;;;247,92;;;;185,88;212,62;198,79;;229,39;202,03;203,38;;;
"05-2011";248,93;;;240,35;247,23;260,00;272,98;260,59;245,98;255,12;265,70;229,62;;;245,54;;;;186,67;218,01;200,18;;225,28;207,66;202,40;;;
"06-2011";246,10;;;232,58;248,06;256,91;273,48;256,14;247,03;266,44;272,24;232,63;;;250,30;;;;183,24;225,94;206,22;;230,97;213,64;204,69;;;
"07-2011";241,89;;;229,38;245,09;241,47;263,38;250,76;238,77;254,84;259,60;233,14;;;249,49;;;;184,01;214,71;204,40;;223,31;212,55;206,58;;;
"08-2011";244,24;;;227,21;249,48;253,10;266,75;249,58;244,00;260,00;271,25;235,66;;;248,10;;;;187,73;206,13;202,47;;219,52;211,09;209,35;;;
"09-2011";241,90;;;231,46;250,96;250,81;267,19;249,60;242,07;260,33;272,09;235,75;;;249,38;;;;183,61;203,20;196,69;;205,97;208,51;208,07;;;
"10-2011";243,11;;;233,48;252,20;251,97;266,97;251,98;245,97;260,99;277,34;237,85;;;251,58;;;;182,68;198,68;195,14;;200,55;206,17;205,12;;;
"11-2011";249,13;;;233,67;256,70;261,69;276,31;263,91;253,19;268,57;279,64;242,82;;;258,32;;;;181,79;206,44;198,26;;206,00;210,52;205,11;;;
"12-2011";247,88;;;246,70;264,01;262,90;277,27;275,39;248,63;262,44;276,86;243,75;;;255,79;;;;182,22;215,21;204,21;;212,36;215,99;208,82;;;
"01-2012";259,59;;;250,82;268,07;271,71;285,54;271,16;256,52;271,64;274,63;248,77;;;258,52;;;;187,88;218,06;212,18;;213,63;223,16;214,21;;;
"02-2012";255,91;;;251,04;264,28;263,46;276,54;267,19;246,15;255,88;269,61;248,84;;;252,93;;;;188,59;214,23;212,64;;218,21;219,42;204,53;;;
"03-2012";253,70;;;234,14;260,93;256,74;273,25;260,23;246,11;255,52;264,19;245,07;;;257,41;;;;192,41;211,39;214,54;;219,00;223,10;211,90;;;
"04-2012";255,50;;;235,36;258,78;252,04;277,27;262,14;249,36;257,90;268,10;248,41;;;267,19;;;;192,52;218,87;216,95;;225,41;223,97;217,92;;;
"05-2012";253,21;;;246,39;264,95;260,49;283,69;271,16;255,32;255,29;272,45;250,61;;;272,86;;;;199,26;234,00;225,94;;232,82;239,92;228,25;;;
"06-2012";259,70;;;244,03;265,90;270,36;287,63;277,70;262,01;260,12;280,26;252,97;;;273,73;;;;199,70;235,70;229,56;;234,32;231,46;213,20;;;
