id_municipio,ano,total_licencas_obras,area_total_construida
2304400,2009,39,29891.14
2304400,2010,27,7917.4600000000019
2304400,2011,69,101501.31999999996
2304400,2012,58,274805.67000000004
2304400,2013,94,129238.73999999999
2304400,2014,98,632751.26999999979
2304400,2015,125,672321.3899999999
2304400,2016,89,329368.35000000009
2304400,2017,141,1170599.0199999998
2304400,2018,327,1041966.1000000001
2304400,2019,708,3501007.3100000005
2304400,2020,631,3183288.069999998
2304400,2021,708,2067060.3000000003
2304400,2022,770,19297470.719999984
2611606,2009,8,13039.260000000002
2611606,2010,8,51001.91
2611606,2011,18,56835.78
2611606,2012,27,218928.54000000004
2611606,2013,54,382921.10999999993
2611606,2014,56,354863.50000000012
2611606,2015,76,405288.86999999994
2611606,2016,52,199419.98000000004
2611606,2017,115,484973.87999999995
2611606,2018,228,678000.96
2611606,2019,468,1001579466.37
2611606,2020,419,9717952.5499999933
2611606,2021,406,3957578.0600000015
2611606,2022,615,2517617.6999999997
2927408,2009,6,7812.05
2927408,2010,13,14815.75
2927408,2011,17,32342.1
2927408,2012,28,2597460.1900000004
2927408,2013,54,211586.99000000005
2927408,2014,56,461994.26999999996
2927408,2015,63,25631538.979999993
2927408,2016,35,76178.939999999973
2927408,2017,122,344646.07
2927408,2018,280,23386949.230000015
2927408,2019,380,5430175.9299999969
2927408,2020,404,19501908.790000014
2927408,2021,463,24083109.060000002
2927408,2022,495,170967521.18000013
3106200,2009,198,174565.34000000008
3106200,2010,294,560723.9700000002
3106200,2011,243,479438.25
3106200,2012,326,708245.8000000004
3106200,2013,343,1273067.8000000003
3106200,2014,384,577019.51
3106200,2015,471,1638309.6200000003
3106200,2016,445,1338511.05
3106200,2017,449,712104.78000000049
3106200,2018,732,6997813.6900000051
3106200,2019,1182,12109623.799999986
3106200,2020,1300,4773587.1700000027
3106200,2021,1299,211450394.45999971
3106200,2022,1157,8637363.9299999811
3303302,2009,3,28966.460000000003
3303302,2010,2,594.19
3303302,2011,5,1323.7
3303302,2012,16,124654.83999999998
3303302,2013,20,135614.75999999998
3303302,2014,40,106682.27000000006
3303302,2015,38,57504.510000000017
3303302,2016,26,104837.69
3303302,2017,56,54576.469999999994
3303302,2018,63,90612.239999999976
3303302,2019,85,306121.91
3303302,2020,106,617014.68000000017
3303302,2021,122,645795.55999999982
3303302,2022,170,1192023.6199999992
3304557,2009,32,93890.25
3304557,2010,51,153792.40999999997
3304557,2011,39,351546.63
3304557,2012,67,337943.17999999988
3304557,2013,225,1864166.6799999997
3304557,2014,212,1885546.0799999984
3304557,2015,236,1362005.3399999989
3304557,2016,182,2525032.1399999987
3304557,2017,335,3628020.5199999991
3304557,2018,712,5363894.0199999884
3304557,2019,1167,15960913.079999998
3304557,2020,896,11023974.199999996
3304557,2021,1281,5692449.7499999935
3304557,2022,1631,301104726.60999978
3505708,2009,31,40391.919999999984
3505708,2010,43,258418.79000000004
3505708,2011,40,86970.330000000031
3505708,2012,69,162602.61000000002
3505708,2013,96,172073.54
3505708,2014,64,155819.43000000005
3505708,2015,76,112498.64000000001
3505708,2016,44,164493.41999999998
